imo;year;HELCOM_Gross_ShipType
9999999;2017;Passenger
9873124;2017;Tanker
9829069;2017;Tanker
9826160;2017;Other
9825465;2017;Other
9824021;2017;Unknown
9823699;2017;Other
9823089;2017;Other
9823039;2017;Tanker
9822217;2017;Other
9820348;2017;Unknown
9820233;2017;Other
9819404;2017;Other
9818632;2017;Fishing
9818319;2017;Cargo
9817195;2017;Other
9816828;2017;Unknown
9815850;2017;Tanker
9814947;2017;Unknown
9812092;2017;Other
9812030;2017;Other
9811945;2017;Cargo
9811567;2017;Cargo
9809590;2017;Cargo
9809112;2017;Cargo
9809100;2017;Cargo
9809095;2017;Cargo
9808807;2017;Cargo
9808792;2017;Other
9808340;2017;Cargo
9808247;2017;Other
9807798;2017;Other
9806847;2017;Fishing
9806768;2017;Cargo
9806328;2017;Passenger
9806213;2017;Cargo
9805568;2017;Other
9805427;2017;Cargo
9805362;2017;Other
9805180;2017;Other
9804564;2017;Cargo
9804241;2017;Tanker
9804239;2017;Tanker
9804227;2017;Tanker
9803637;2017;Other
9803431;2017;Other
9802695;2017;Cargo
9802413;2017;Cargo
9801938;2017;Other
9801926;2017;Other
9801081;2017;Tanker
9800348;2017;Other
9800001;2017;Tanker
9799977;2017;Cargo
9799874;2017;Tanker
9798844;2017;Cargo
9798648;2017;Tanker
9798399;2017;Cargo
9798387;2017;Cargo
9797682;2017;Cargo
9797383;2017;Tanker
9797254;2017;Tanker
9795713;2017;Unknown
9795701;2017;Unknown
9795697;2017;Other
9794953;2017;Fishing
9794886;2017;Fishing
9794874;2017;Fishing
9794410;2017;Tanker
9793507;2017;Other
9793492;2017;Other
9793076;2017;Other
9793064;2017;Passenger
9792515;2017;Tanker
9791925;2017;Cargo
9791896;2017;Cargo
9791016;2017;Unknown
9790816;2017;Cargo
9790373;2017;Tanker
9790361;2017;Tanker
9788954;2017;Tanker
